window_id,ticker,from_date,to_date,status,http_status,article_count,retrieved_at_utc,raw_file,error_kind
window_a3af9c0c75e34c73,AMZN,2025-11-12,2025-11-15,success,200,204,2026-09-14T15:38:29Z,raw/responses/AMZN/2025-11-12_2025-11-15.json,
window_b5c8b95eae2e0361,AMZN,2025-11-12,2025-11-18,split_potential_truncation,200,246,2026-09-14T15:38:28Z,raw/responses/AMZN/2025-11-12_2025-11-18.json,
window_b35906769612138b,AMZN,2025-11-16,2025-11-18,success,200,148,2026-09-14T15:38:30Z,raw/responses/AMZN/2025-11-16_2025-11-18.json,
window_421a346667ee2ea7,AMZN,2025-11-19,2025-11-22,success,200,190,2026-09-14T15:38:32Z,raw/responses/AMZN/2025-11-19_2025-11-22.json,
window_6be719cb4b4ae733,AMZN,2025-11-19,2025-11-25,split_potential_truncation,200,248,2026-09-14T15:38:31Z,raw/responses/AMZN/2025-11-19_2025-11-25.json,
window_7feb5c385156c917,AMZN,2025-11-23,2025-11-25,success,200,147,2026-09-14T15:38:33Z,raw/responses/AMZN/2025-11-23_2025-11-25.json,
window_66f33dd64ef0e8bd,AMZN,2025-11-26,2025-12-02,success,200,236,2026-09-14T15:38:35Z,raw/responses/AMZN/2025-11-26_2025-12-02.json,
window_72e69b1a016c5528,AMZN,2025-12-03,2025-12-06,success,200,215,2026-09-14T15:38:37Z,raw/responses/AMZN/2025-12-03_2025-12-06.json,
window_9aa375813be81412,AMZN,2025-12-03,2025-12-09,split_potential_truncation,200,245,2026-09-14T15:38:36Z,raw/responses/AMZN/2025-12-03_2025-12-09.json,
window_5cf896d52bbe3ab4,AMZN,2025-12-07,2025-12-09,success,200,116,2026-09-14T15:38:38Z,raw/responses/AMZN/2025-12-07_2025-12-09.json,
window_5e20f65c0d3aee08,AMZN,2025-12-10,2025-12-13,success,200,158,2026-09-14T15:38:40Z,raw/responses/AMZN/2025-12-10_2025-12-13.json,
window_72ecd6cd78596ed6,AMZN,2025-12-10,2025-12-16,split_potential_truncation,200,243,2026-09-14T15:38:39Z,raw/responses/AMZN/2025-12-10_2025-12-16.json,
window_11a91f1ed2a77f5f,AMZN,2025-12-14,2025-12-16,success,200,105,2026-09-14T15:38:41Z,raw/responses/AMZN/2025-12-14_2025-12-16.json,
window_937461887bb4e0d2,AMZN,2025-12-17,2025-12-20,success,200,159,2026-09-14T15:38:43Z,raw/responses/AMZN/2025-12-17_2025-12-20.json,
window_ee5d0b61775b4aa2,AMZN,2025-12-17,2025-12-23,split_potential_truncation,200,241,2026-09-14T15:38:42Z,raw/responses/AMZN/2025-12-17_2025-12-23.json,
window_9ce450fcfedef39f,AMZN,2025-12-21,2025-12-23,success,200,86,2026-09-14T15:38:45Z,raw/responses/AMZN/2025-12-21_2025-12-23.json,
window_1f826e471b1240c1,AMZN,2025-12-24,2025-12-30,success,200,152,2026-09-14T15:38:46Z,raw/responses/AMZN/2025-12-24_2025-12-30.json,
window_479cb9f05b4c9d4d,AMZN,2025-12-31,2026-01-06,success,200,177,2026-09-14T15:38:47Z,raw/responses/AMZN/2025-12-31_2026-01-06.json,
window_15ff40370a4a193c,AMZN,2026-01-07,2026-01-10,success,200,190,2026-09-14T15:38:49Z,raw/responses/AMZN/2026-01-07_2026-01-10.json,
window_01a71c10962797bf,AMZN,2026-01-07,2026-01-13,split_potential_truncation,200,244,2026-09-14T15:38:48Z,raw/responses/AMZN/2026-01-07_2026-01-13.json,
window_83a355773ddaf552,AMZN,2026-01-11,2026-01-13,success,200,121,2026-09-14T15:38:50Z,raw/responses/AMZN/2026-01-11_2026-01-13.json,
window_57e67dded164174d,AMZN,2026-01-14,2026-01-17,success,200,207,2026-09-14T15:38:52Z,raw/responses/AMZN/2026-01-14_2026-01-17.json,
window_c3d37b43c8bc3688,AMZN,2026-01-14,2026-01-20,split_potential_truncation,200,241,2026-09-14T15:38:51Z,raw/responses/AMZN/2026-01-14_2026-01-20.json,
window_d4067eda556892c1,AMZN,2026-01-18,2026-01-20,success,200,119,2026-09-14T15:38:53Z,raw/responses/AMZN/2026-01-18_2026-01-20.json,
window_351dae7f0b2ce4ab,AMZN,2026-01-21,2026-01-24,success,200,209,2026-09-14T15:38:56Z,raw/responses/AMZN/2026-01-21_2026-01-24.json,
window_ae24b09c9535d46e,AMZN,2026-01-21,2026-01-27,split_potential_truncation,200,243,2026-09-14T15:38:54Z,raw/responses/AMZN/2026-01-21_2026-01-27.json,
window_be8edfb538810898,AMZN,2026-01-25,2026-01-27,success,200,160,2026-09-14T15:38:57Z,raw/responses/AMZN/2026-01-25_2026-01-27.json,
window_71b0046669189637,AMZN,2026-01-28,2026-01-29,success,200,221,2026-09-14T15:39:00Z,raw/responses/AMZN/2026-01-28_2026-01-29.json,
window_f95cec2ffd8ffccc,AMZN,2026-01-28,2026-01-31,split_potential_truncation,200,246,2026-09-14T15:38:59Z,raw/responses/AMZN/2026-01-28_2026-01-31.json,
window_c09d06f336d96492,AMZN,2026-01-28,2026-02-03,split_potential_truncation,200,249,2026-09-14T15:38:58Z,raw/responses/AMZN/2026-01-28_2026-02-03.json,
window_d8afd1e1ec616a8b,AMZN,2026-01-30,2026-01-31,success,200,88,2026-09-14T15:39:01Z,raw/responses/AMZN/2026-01-30_2026-01-31.json,
window_f9d6915343ce6ab9,AMZN,2026-02-01,2026-02-03,success,200,237,2026-09-14T15:39:02Z,raw/responses/AMZN/2026-02-01_2026-02-03.json,
window_e19e54fae83d7b04,AMZN,2026-02-04,2026-02-04,success,200,95,2026-09-14T15:39:07Z,raw/responses/AMZN/2026-02-04_2026-02-04.json,
window_6e87f48b06d4ec23,AMZN,2026-02-04,2026-02-05,split_potential_truncation,200,247,2026-09-14T15:39:06Z,raw/responses/AMZN/2026-02-04_2026-02-05.json,
window_aade26b7a628fe85,AMZN,2026-02-04,2026-02-07,split_potential_truncation,200,249,2026-09-14T15:39:04Z,raw/responses/AMZN/2026-02-04_2026-02-07.json,
window_e6faecc6dd0502f6,AMZN,2026-02-04,2026-02-10,split_potential_truncation,200,247,2026-09-14T15:39:03Z,raw/responses/AMZN/2026-02-04_2026-02-10.json,
window_bcd7668e630bc6d5,AMZN,2026-02-05,2026-02-05,success,200,160,2026-09-14T15:39:08Z,raw/responses/AMZN/2026-02-05_2026-02-05.json,
window_88077e996d71dfed,AMZN,2026-02-06,2026-02-06,success,200,220,2026-09-14T15:39:10Z,raw/responses/AMZN/2026-02-06_2026-02-06.json,
window_df6452392fa41567,AMZN,2026-02-06,2026-02-07,split_potential_truncation,200,249,2026-09-14T15:39:09Z,raw/responses/AMZN/2026-02-06_2026-02-07.json,
window_b8da1a4093e56fee,AMZN,2026-02-07,2026-02-07,success,200,42,2026-09-14T15:39:11Z,raw/responses/AMZN/2026-02-07_2026-02-07.json,
window_5b43be5f9e8eec21,AMZN,2026-02-08,2026-02-09,success,200,157,2026-09-14T15:39:13Z,raw/responses/AMZN/2026-02-08_2026-02-09.json,
window_0822a78e5060d24b,AMZN,2026-02-08,2026-02-10,split_potential_truncation,200,247,2026-09-14T15:39:12Z,raw/responses/AMZN/2026-02-08_2026-02-10.json,
window_439dfe35495d56fc,AMZN,2026-02-10,2026-02-10,success,200,97,2026-09-14T15:39:14Z,raw/responses/AMZN/2026-02-10_2026-02-10.json,
window_967738e49bd7247a,AMZN,2026-02-11,2026-02-12,success,200,194,2026-09-14T15:39:18Z,raw/responses/AMZN/2026-02-11_2026-02-12.json,
window_9c77fe4013cfaa0e,AMZN,2026-02-11,2026-02-14,split_potential_truncation,200,246,2026-09-14T15:39:17Z,raw/responses/AMZN/2026-02-11_2026-02-14.json,
window_8efb6cb4c8299669,AMZN,2026-02-11,2026-02-17,split_potential_truncation,200,248,2026-09-14T15:39:15Z,raw/responses/AMZN/2026-02-11_2026-02-17.json,
window_8268880ccda7dbdb,AMZN,2026-02-13,2026-02-14,success,200,129,2026-09-14T15:39:19Z,raw/responses/AMZN/2026-02-13_2026-02-14.json,
window_0fa2934538bae0af,AMZN,2026-02-15,2026-02-17,success,200,174,2026-09-14T15:39:20Z,raw/responses/AMZN/2026-02-15_2026-02-17.json,
window_bcd65b58ee687c89,AMZN,2026-02-18,2026-02-19,success,200,217,2026-09-14T15:39:23Z,raw/responses/AMZN/2026-02-18_2026-02-19.json,
window_9a4d63ff6a2a92d5,AMZN,2026-02-18,2026-02-21,split_potential_truncation,200,249,2026-09-14T15:39:22Z,raw/responses/AMZN/2026-02-18_2026-02-21.json,
window_4c670605ab539f06,AMZN,2026-02-18,2026-02-24,split_potential_truncation,200,249,2026-09-14T15:39:21Z,raw/responses/AMZN/2026-02-18_2026-02-24.json,
window_baf32b2b69fb4b66,AMZN,2026-02-20,2026-02-21,success,200,101,2026-09-14T15:39:24Z,raw/responses/AMZN/2026-02-20_2026-02-21.json,
window_0c83b0488a53c841,AMZN,2026-02-22,2026-02-24,success,200,194,2026-09-14T15:39:25Z,raw/responses/AMZN/2026-02-22_2026-02-24.json,
window_2cec7388abdb7c27,AMZN,2026-02-25,2026-02-26,success,200,191,2026-09-14T15:39:29Z,raw/responses/AMZN/2026-02-25_2026-02-26.json,
window_766f08bd64e7e359,AMZN,2026-02-25,2026-02-28,split_potential_truncation,200,246,2026-09-14T15:39:28Z,raw/responses/AMZN/2026-02-25_2026-02-28.json,
window_527308253b8f2ea4,AMZN,2026-02-25,2026-03-03,split_potential_truncation,200,246,2026-09-14T15:39:26Z,raw/responses/AMZN/2026-02-25_2026-03-03.json,
window_3ea97e7718605bd6,AMZN,2026-02-27,2026-02-28,success,200,147,2026-09-14T15:39:30Z,raw/responses/AMZN/2026-02-27_2026-02-28.json,
window_eac6055bdc3e6f98,AMZN,2026-03-01,2026-03-03,success,200,186,2026-09-14T15:39:31Z,raw/responses/AMZN/2026-03-01_2026-03-03.json,
window_1629542d9839b116,AMZN,2026-03-04,2026-03-07,success,200,238,2026-09-14T15:39:33Z,raw/responses/AMZN/2026-03-04_2026-03-07.json,
window_9c02b9f2af41158f,AMZN,2026-03-04,2026-03-10,split_potential_truncation,200,243,2026-09-14T15:39:32Z,raw/responses/AMZN/2026-03-04_2026-03-10.json,
window_0cd6416f7008f8ad,AMZN,2026-03-08,2026-03-10,success,200,180,2026-09-14T15:39:34Z,raw/responses/AMZN/2026-03-08_2026-03-10.json,
window_2da50aff641879b0,AMZN,2026-03-11,2026-03-17,success,200,236,2026-09-14T15:39:35Z,raw/responses/AMZN/2026-03-11_2026-03-17.json,
window_1828a95cff52a484,AMZN,2026-03-18,2026-03-21,success,200,233,2026-09-14T15:39:38Z,raw/responses/AMZN/2026-03-18_2026-03-21.json,
window_fbcf483e12f5047e,AMZN,2026-03-18,2026-03-24,split_potential_truncation,200,243,2026-09-14T15:39:36Z,raw/responses/AMZN/2026-03-18_2026-03-24.json,
window_d8e69a94eafd4d4b,AMZN,2026-03-22,2026-03-24,success,200,182,2026-09-14T15:39:39Z,raw/responses/AMZN/2026-03-22_2026-03-24.json,
window_ca386a36c507d3c7,AMZN,2026-03-25,2026-03-28,success,200,217,2026-09-14T15:39:41Z,raw/responses/AMZN/2026-03-25_2026-03-28.json,
window_e41526848fd560e2,AMZN,2026-03-25,2026-03-31,split_potential_truncation,200,242,2026-09-14T15:39:40Z,raw/responses/AMZN/2026-03-25_2026-03-31.json,
window_c84f6dfaea09a134,AMZN,2026-03-29,2026-03-31,success,200,163,2026-09-14T15:39:42Z,raw/responses/AMZN/2026-03-29_2026-03-31.json,
window_3ffcbf7564e39ea8,AMZN,2026-04-01,2026-04-04,success,200,234,2026-09-14T15:39:44Z,raw/responses/AMZN/2026-04-01_2026-04-04.json,
window_a5b781543f51e386,AMZN,2026-04-01,2026-04-07,split_potential_truncation,200,240,2026-09-14T15:39:43Z,raw/responses/AMZN/2026-04-01_2026-04-07.json,
window_e4f400964d6d73eb,AMZN,2026-04-05,2026-04-07,success,200,172,2026-09-14T15:39:45Z,raw/responses/AMZN/2026-04-05_2026-04-07.json,
window_5902055854dadc80,AMZN,2026-04-08,2026-04-09,success,200,192,2026-09-14T15:39:49Z,raw/responses/AMZN/2026-04-08_2026-04-09.json,
window_d1abce0a40790c30,AMZN,2026-04-08,2026-04-11,split_potential_truncation,200,249,2026-09-14T15:39:47Z,raw/responses/AMZN/2026-04-08_2026-04-11.json,
window_84ec424a54318878,AMZN,2026-04-08,2026-04-14,split_potential_truncation,200,240,2026-09-14T15:39:46Z,raw/responses/AMZN/2026-04-08_2026-04-14.json,
window_8527b624803e88c6,AMZN,2026-04-10,2026-04-11,success,200,124,2026-09-14T15:39:50Z,raw/responses/AMZN/2026-04-10_2026-04-11.json,
window_e2624b4f9ab05b0a,AMZN,2026-04-12,2026-04-13,success,200,100,2026-09-14T15:39:52Z,raw/responses/AMZN/2026-04-12_2026-04-13.json,
window_e948de18576c7b19,AMZN,2026-04-12,2026-04-14,split_potential_truncation,200,240,2026-09-14T15:39:51Z,raw/responses/AMZN/2026-04-12_2026-04-14.json,
window_ae9095859bb4b308,AMZN,2026-04-14,2026-04-14,success,200,144,2026-09-14T15:39:53Z,raw/responses/AMZN/2026-04-14_2026-04-14.json,
window_74410245ec5860eb,AMZN,2026-04-15,2026-04-16,success,200,180,2026-09-14T15:39:56Z,raw/responses/AMZN/2026-04-15_2026-04-16.json,
window_96391b16b3132a63,AMZN,2026-04-15,2026-04-18,split_potential_truncation,200,245,2026-09-14T15:39:55Z,raw/responses/AMZN/2026-04-15_2026-04-18.json,
window_3e48bc5fb07648ea,AMZN,2026-04-15,2026-04-21,split_potential_truncation,200,245,2026-09-14T15:39:54Z,raw/responses/AMZN/2026-04-15_2026-04-21.json,
window_c0b3cd6533839846,AMZN,2026-04-17,2026-04-18,success,200,91,2026-09-14T15:39:57Z,raw/responses/AMZN/2026-04-17_2026-04-18.json,
window_895c0489a8b6fd67,AMZN,2026-04-19,2026-04-20,success,200,119,2026-09-14T15:40:00Z,raw/responses/AMZN/2026-04-19_2026-04-20.json,
window_8743ebe27d553d7c,AMZN,2026-04-19,2026-04-21,split_potential_truncation,200,245,2026-09-14T15:39:58Z,raw/responses/AMZN/2026-04-19_2026-04-21.json,
window_105d305c32a07968,AMZN,2026-04-21,2026-04-21,success,200,128,2026-09-14T15:40:01Z,raw/responses/AMZN/2026-04-21_2026-04-21.json,
window_5b38b26b1cf1c754,AMZN,2026-04-22,2026-04-23,success,200,162,2026-09-14T15:40:04Z,raw/responses/AMZN/2026-04-22_2026-04-23.json,
window_0ad73b304d6f8d4c,AMZN,2026-04-22,2026-04-25,split_potential_truncation,200,242,2026-09-14T15:40:03Z,raw/responses/AMZN/2026-04-22_2026-04-25.json,
window_7203bb298eff0803,AMZN,2026-04-22,2026-04-28,split_potential_truncation,200,246,2026-09-14T15:40:02Z,raw/responses/AMZN/2026-04-22_2026-04-28.json,
window_916a45ac3251bab3,AMZN,2026-04-24,2026-04-25,success,200,153,2026-09-14T15:40:05Z,raw/responses/AMZN/2026-04-24_2026-04-25.json,
window_a600d66f8da0f35d,AMZN,2026-04-26,2026-04-27,success,200,170,2026-09-14T15:40:07Z,raw/responses/AMZN/2026-04-26_2026-04-27.json,
window_2084a88ac7a2be93,AMZN,2026-04-26,2026-04-28,split_potential_truncation,200,246,2026-09-14T15:40:06Z,raw/responses/AMZN/2026-04-26_2026-04-28.json,
window_22ce2ac4b0e97d85,AMZN,2026-04-28,2026-04-28,success,200,123,2026-09-14T15:40:08Z,raw/responses/AMZN/2026-04-28_2026-04-28.json,
window_e835602b657f9bc8,AMZN,2026-04-29,2026-04-29,success,200,150,2026-09-14T15:40:12Z,raw/responses/AMZN/2026-04-29_2026-04-29.json,
window_d461f83d5be902e6,AMZN,2026-04-29,2026-04-30,split_potential_truncation,200,250,2026-09-14T15:40:11Z,raw/responses/AMZN/2026-04-29_2026-04-30.json,
window_cb598dbb7188dd5f,AMZN,2026-04-29,2026-05-01,split_potential_truncation,200,249,2026-09-14T15:40:10Z,raw/responses/AMZN/2026-04-29_2026-05-01.json,
window_7ae1eb5e538d39a9,AMZN,2026-04-30,2026-04-30,success,200,183,2026-09-14T15:40:13Z,raw/responses/AMZN/2026-04-30_2026-04-30.json,
window_3715204fbc8a4012,AMZN,2026-05-01,2026-05-01,success,200,115,2026-09-14T15:40:14Z,raw/responses/AMZN/2026-05-01_2026-05-01.json,
window_39c6982d4fdfbc90,AVGO,2025-10-01,2025-10-07,success,200,110,2026-09-14T15:35:53Z,raw/responses/AVGO/2025-10-01_2025-10-07.json,
window_94d9a33e4f61e01b,AVGO,2025-10-08,2025-10-14,success,200,175,2026-09-14T15:35:54Z,raw/responses/AVGO/2025-10-08_2025-10-14.json,
window_a2d75d90bc6efc1c,AVGO,2025-10-15,2025-10-21,success,200,139,2026-09-14T15:35:56Z,raw/responses/AVGO/2025-10-15_2025-10-21.json,
window_f982ab879668b97d,AVGO,2025-10-22,2025-10-28,success,200,87,2026-09-14T15:35:57Z,raw/responses/AVGO/2025-10-22_2025-10-28.json,
window_2e2d6e7c23285ab7,AVGO,2025-10-29,2025-11-04,success,200,102,2026-09-14T15:35:58Z,raw/responses/AVGO/2025-10-29_2025-11-04.json,
window_373be4a4c7adb19b,AVGO,2025-11-05,2025-11-11,success,200,105,2026-09-14T15:35:59Z,raw/responses/AVGO/2025-11-05_2025-11-11.json,
window_bb8cb3098640776c,AVGO,2025-11-12,2025-11-18,success,200,132,2026-09-14T15:36:00Z,raw/responses/AVGO/2025-11-12_2025-11-18.json,
window_caca7dd9f08523f4,AVGO,2025-11-19,2025-11-25,success,200,173,2026-09-14T15:36:01Z,raw/responses/AVGO/2025-11-19_2025-11-25.json,
window_7710653a5e5a8f3b,AVGO,2025-11-26,2025-12-02,success,200,132,2026-09-14T15:36:02Z,raw/responses/AVGO/2025-11-26_2025-12-02.json,
window_6f693ea96b9549d9,AVGO,2025-12-03,2025-12-09,success,200,182,2026-09-14T15:36:03Z,raw/responses/AVGO/2025-12-03_2025-12-09.json,
window_4ccaf85206ecb7d5,AVGO,2025-12-10,2025-12-16,success,200,235,2026-09-14T15:36:04Z,raw/responses/AVGO/2025-12-10_2025-12-16.json,
window_5637a63953f70b9a,AVGO,2025-12-17,2025-12-23,success,200,188,2026-09-14T15:36:05Z,raw/responses/AVGO/2025-12-17_2025-12-23.json,
window_5e8cfacb89865f40,AVGO,2025-12-24,2025-12-30,success,200,86,2026-09-14T15:36:07Z,raw/responses/AVGO/2025-12-24_2025-12-30.json,
window_a5a75e010c7a0373,AVGO,2025-12-31,2026-01-06,success,200,92,2026-09-14T15:36:08Z,raw/responses/AVGO/2025-12-31_2026-01-06.json,
window_14152a10d0cb6cf1,AVGO,2026-01-07,2026-01-13,success,200,121,2026-09-14T15:36:09Z,raw/responses/AVGO/2026-01-07_2026-01-13.json,
