model,class_label,class_name,association,rank,term,coefficient
market_plus_tfidf,0,neutral,positive,6,intel,0.03013485641043918
market_plus_tfidf,0,neutral,positive,7,2026,0.02832605064424457
market_plus_tfidf,0,neutral,positive,8,open,0.02822352119890827
market_plus_tfidf,0,neutral,positive,9,value,0.028201951965148606
market_plus_tfidf,0,neutral,positive,10,ces,0.02795789395285782
market_plus_tfidf,0,neutral,positive,11,2026 nvidia,0.026839897849083902
market_plus_tfidf,0,neutral,positive,12,coreweave,0.026683955760990627
market_plus_tfidf,0,neutral,positive,13,says,0.0265942798144902
market_plus_tfidf,0,neutral,positive,14,building,0.026073905353956147
market_plus_tfidf,0,neutral,positive,15,wall,0.02570435000988106
market_plus_tfidf,0,neutral,positive,16,partners,0.025590435941939545
market_plus_tfidf,0,neutral,positive,17,meta,0.025267949169800033
market_plus_tfidf,0,neutral,positive,18,ai driven,0.024036693807742846
market_plus_tfidf,0,neutral,positive,19,compute,0.02373917102711293
market_plus_tfidf,0,neutral,positive,20,return,0.02354173625623575
market_plus_tfidf,0,neutral,negative,1,q3,-0.05683162898493413
market_plus_tfidf,0,neutral,negative,2,trump,-0.052635863184559116
market_plus_tfidf,0,neutral,negative,3,donald,-0.04268470377108328
market_plus_tfidf,0,neutral,negative,4,donald trump,-0.04268470377108328
market_plus_tfidf,0,neutral,negative,5,administration,-0.04162486968467409
market_plus_tfidf,0,neutral,negative,6,china,-0.041325460480959086
market_plus_tfidf,0,neutral,negative,7,business,-0.03970650609794735
market_plus_tfidf,0,neutral,negative,8,export,-0.03857786452104155
market_plus_tfidf,0,neutral,negative,9,plan,-0.0380057292265332
market_plus_tfidf,0,neutral,negative,10,minute,-0.037565040294474016
market_plus_tfidf,0,neutral,negative,11,chief,-0.0370930941673264
market_plus_tfidf,0,neutral,negative,12,musk,-0.03496559210312317
market_plus_tfidf,0,neutral,negative,13,quarterly,-0.03488437131655458
market_plus_tfidf,0,neutral,negative,14,tech stocks,-0.03354001205838349
market_plus_tfidf,0,neutral,negative,15,tariff,-0.03237133005672661
market_plus_tfidf,0,neutral,negative,16,october,-0.031714872574432534
market_plus_tfidf,0,neutral,negative,17,run,-0.031145243034168775
market_plus_tfidf,0,neutral,negative,18,quantum,-0.030256276993530253
market_plus_tfidf,0,neutral,negative,19,market cap,-0.030178526488502413
market_plus_tfidf,0,neutral,negative,20,xai,-0.02892188632332455
market_plus_tfidf,1,up,positive,1,administration,0.06253113167598622
market_plus_tfidf,1,up,positive,2,partnerships,0.06062062840275158
market_plus_tfidf,1,up,positive,3,chief,0.06040295287503094
market_plus_tfidf,1,up,positive,4,launch,0.04191011168037711
market_plus_tfidf,1,up,positive,5,trump,0.0414802615679453
market_plus_tfidf,1,up,positive,6,edge,0.041283506508198085
market_plus_tfidf,1,up,positive,7,hbm,0.041255299889360116
market_plus_tfidf,1,up,positive,8,moves,0.04124864448902794
market_plus_tfidf,1,up,positive,9,amzn,0.03816349230906375
market_plus_tfidf,1,up,positive,10,msft,0.037572802175895585
market_plus_tfidf,1,up,positive,11,amazon,0.03731670671060228
market_plus_tfidf,1,up,positive,12,read,0.03703736280320308
market_plus_tfidf,1,up,positive,13,watch,0.03623397639553265
market_plus_tfidf,1,up,positive,14,new ai,0.034276786250197595
market_plus_tfidf,1,up,positive,15,session,0.032992857937937166
market_plus_tfidf,1,up,positive,16,business,0.03246939098468093
market_plus_tfidf,1,up,positive,17,consumer,0.032416346950681574
market_plus_tfidf,1,up,positive,18,bitcoin,0.032194247365980026
market_plus_tfidf,1,up,positive,19,tariff,0.03138868571740879
market_plus_tfidf,1,up,positive,20,ai data,0.030809421424113564
market_plus_tfidf,1,up,negative,1,taiwan semiconductor,-0.045801034884959624
market_plus_tfidf,1,up,negative,2,compute,-0.04300301182741638
market_plus_tfidf,1,up,negative,3,bloomberg,-0.04171385773344701
market_plus_tfidf,1,up,negative,4,taiwan,-0.040769354330397904
market_plus_tfidf,1,up,negative,5,india,-0.03832231129858181
market_plus_tfidf,1,up,negative,6,super,-0.03747152812974096
market_plus_tfidf,1,up,negative,7,100 billion,-0.03634784421335898
market_plus_tfidf,1,up,negative,8,group,-0.035255594902823
market_plus_tfidf,1,up,negative,9,ai stocks,-0.03374334423853955
market_plus_tfidf,1,up,negative,10,firms,-0.03294003641589706
market_plus_tfidf,1,up,negative,11,samsung,-0.03262365995838657
market_plus_tfidf,1,up,negative,12,open,-0.03083838765511799
market_plus_tfidf,1,up,negative,13,q4,-0.030740520578600397
market_plus_tfidf,1,up,negative,14,best,-0.03069087543945969
market_plus_tfidf,1,up,negative,15,rival,-0.030594484332178606
market_plus_tfidf,1,up,negative,16,analysts,-0.029129356530131184
market_plus_tfidf,1,up,negative,17,2026 nvidia,-0.029088452537914755
market_plus_tfidf,1,up,negative,18,dollar,-0.02906756711203898
market_plus_tfidf,1,up,negative,19,products,-0.02900830228101812
market_plus_tfidf,1,up,negative,20,100,-0.028345063610981713
